Small Faction             , Assigned Boss Faction   , Country
The Null Tide             , GRIDFALL-Ω              , Australia
Children of Llaima        , The Tremor Crown        , Chile
NeuroHex Collective       , Crimson Dao Triad       , China
Verde Sangre              , Cartel Ziggurat         , Colombia
The Golem Scars           , Kinsangani Directive    , Congo
Vltava Ciphers            , NREVA-8                 , Czech Republic
SYN-Eclipse               , Black Nile Pact         , Egypt
The Ascendants of Lalibela, Order of the Zenith Gate, Ethiopia
The Icevein Pact          , SIGMA-12                , Finland
Velvet Accord             , Les Loups Gris          , France
Iron Banner Syndicate     , Stahl Krieger           , Germany
Omen of Acheron           , Project Mnemosyne       , Greece
Ordo Vanta                , Raksha Mandala          , India
Guardians of Merapi       , Cradle of Ifrit         , Indonesia
The Hollow Flame          , Solar Exegetes          , Iran
Choir of Ash              , Vox Roma                , Italy
Iron Veil Authority       , Kongō-Kai               , Japan
Echo Khronos              , Oblivion Core           , Kazakhstan
The Black Minaret         , Project Tanin           , Lebanon
Black Reef Conglomerate   , Jaguar Azul             , Mexico
The Writ of Sand          , Al-Zahir Covenant       , Morocco
Delta Revenants           , Consortium Zero         , Nigeria
Sons of Rime              , The Gjallar Synde       , Norway
Bahaghari Blades          , Stormlord Crucibl       , Philippines
The Signal Clergy         , Codex Solum             , Poland
Vitacrypt                 , House Nocturne          , Romania
Nova Hydra Directive      , Zvezda Spetsgruppa      , Russia
Red Dust Confederacy      , Red Veldt Legion        , South Africa
The Iron Saja             , Omnigrid K-0            , South Korea
Synträl Syndicate         , Project Æsirnode        , Sweden
The Vulture Cipher        , Basilisk Array          , Turkey
The Shtorm Diggers        , The Null Regiment       , Ukraine
The Pale Hand             , Shadow Lotus Front      , Vietnam
